,50,55,60,65,70,75,80,85,90
0,-0.4234018017194555,-0.4234018017194555,-0.4234018017194555,-0.4234018017194555,-0.5360047062984142,-0.5360047062984142,-0.5360047062984142,-0.5017907159136349,-0.38730860263366657
1,-0.3132450423067885,-0.3132450423067885,-0.3132450423067885,-0.3132450423067885,-0.4123461025502551,-0.4123461025502551,-0.4123461025502551,-0.4053199475856927,-0.314085128886302
2,-0.43878690467644477,-0.43878690467644477,-0.43878690467644477,-0.43878690467644477,-0.502622777506298,-0.502622777506298,-0.502622777506298,-0.4976763713875564,-0.4132458183582564
