,50,55,60,65,70,75,80,85,90
0,-0.49322910700388023,-0.49322910700388023,-0.49322910700388023,-0.49322910700388023,-0.6283794368529392,-0.6283794368529392,-0.6283794368529392,-0.5417897435878253,-0.46213877605269926
1,-0.3473318419587405,-0.3473318419587405,-0.3473318419587405,-0.3473318419587405,-0.4432935693357753,-0.4432935693357753,-0.4432935693357753,-0.4201171392359435,-0.3628594011466715
2,-0.6318136366200463,-0.6318136366200463,-0.6318136366200463,-0.6318136366200463,-0.7184180139968557,-0.7184180139968557,-0.7184180139968557,-0.64118336097576,-0.5595822924603673
