,50,55,60,65,70,75,80,85,90
0,-0.4590259611161188,-0.4590259611161188,-0.4590259611161188,-0.4590259611161188,-0.5814488790638564,-0.5814488790638564,-0.5814488790638564,-0.5501016161897273,-0.49040987375936035
1,-0.2887152367183091,-0.2887152367183091,-0.2887152367183091,-0.2887152367183091,-0.3939124903378391,-0.3939124903378391,-0.3939124903378391,-0.39694536535830144,-0.32335310900684755
2,-0.5023855005074997,-0.5023855005074997,-0.5023855005074997,-0.5023855005074997,-0.5781632747620832,-0.5781632747620832,-0.5781632747620832,-0.5856236819067299,-0.5168762923953604
